"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7722","Dropdown","firefox","Mon Sep 29 01:34:31 IST 2025","passed","Mon Sep 29 01:34:39 IST 2025","","dropdown.spec.js","",""
"","3863","Verify Application Title","firefox","Mon Sep 29 01:34:35 IST 2025","passed","Mon Sep 29 01:34:39 IST 2025","","google.spec.js","",""
"","4965","Keyboard Events in PlayWright","webkit","Mon Sep 29 01:35:05 IST 2025","passed","Mon Sep 29 01:35:09 IST 2025","","keyboard.spec.js","",""
"","2529","Keyboard Events in PlayWright","firefox","Mon Sep 29 01:34:41 IST 2025","passed","Mon Sep 29 01:34:43 IST 2025","","keyboard.spec.js","",""
"","2464","Login with users 1","webkit","Mon Sep 29 01:35:08 IST 2025","passed","Mon Sep 29 01:35:10 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","8276","Valid Login Test","chromium","Mon Sep 29 01:34:26 IST 2025","passed","Mon Sep 29 01:34:34 IST 2025","","login.spec.js","",""
"","2514","Login with users 2","webkit","Mon Sep 29 01:35:08 IST 2025","passed","Mon Sep 29 01:35:11 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","7232","Handle Alert","firefox","Mon Sep 29 01:34:35 IST 2025","passed","Mon Sep 29 01:34:43 IST 2025","","handlealert.spec.js","",""
"","1667","Login with users 3","firefox","Mon Sep 29 01:34:45 IST 2025","passed","Mon Sep 29 01:34:47 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","6192","Handle Alert","webkit","Mon Sep 29 01:35:01 IST 2025","passed","Mon Sep 29 01:35:07 IST 2025","","handlealert.spec.js","",""
"","6181","Verify Error Message","chromium","Mon Sep 29 01:34:28 IST 2025","passed","Mon Sep 29 01:34:34 IST 2025","","verfiyErrorMessage.spec.js","",""
"","9964","Handle Prompt Box","chromium","Mon Sep 29 01:34:17 IST 2025","passed","Mon Sep 29 01:34:27 IST 2025","","handlealert.spec.js","",""
"","676","Login with users 2","chromium","Mon Sep 29 01:34:26 IST 2025","passed","Mon Sep 29 01:34:26 IST 2025","Data driven Login test > Login with users","login2.spec.js","",""
"","2232","Handle Frames","chromium","Mon Sep 29 01:34:23 IST 2025","passed","Mon Sep 29 01:34:25 IST 2025","","HandleFrames.spec.js","",""
"","7655","Dropdown","webkit","Mon Sep 29 01:34:54 IST 2025","passed","Mon Sep 29 01:35:02 IST 2025","","dropdown.spec.js","",""
"","8211","Verify Error Message","firefox","Mon Sep 29 01:34:51 IST 2025","passed","Mon Sep 29 01:34:59 IST 2025","","verfiyErrorMessage.spec.js","",""
"","2199","Keyboard Events in PlayWright","chromium","Mon Sep 29 01:34:23 IST 2025","passed","Mon Sep 29 01:34:25 IST 2025","","keyboard.spec.js","",""
"","10401","Handle Prompt Box","firefox","Mon Sep 29 01:34:40 IST 2025","passed","Mon Sep 29 01:34:50 IST 2025","","handlealert.spec.js","",""
"","5320","Handle Confirm Box","webkit","Mon Sep 29 01:34:59 IST 2025","passed","Mon Sep 29 01:35:04 IST 2025","","handlealert.spec.js","",""
"","10166","Working with multiple tabs","chromium","Mon Sep 29 01:34:26 IST 2025","passed","Mon Sep 29 01:34:37 IST 2025","","multipletabs.spec.js","",""
"","11506","Working with multiple tabs","webkit","Mon Sep 29 01:35:11 IST 2025","passed","Mon Sep 29 01:35:22 IST 2025","","multipletabs.spec.js","",""
